listing_id,neighborhood,rent,bedrooms,bathrooms,sqft,floor,year_built,in_unit_laundry,dishwasher,central_air,parking_included,gym_in_building,balcony,pets_allowed,heat_included,water_included,listing_description,review_1,review_2,review_3,click_through_rate
APT-1019,Somerville,2632,2,2,867,4,1918,1,1,1,0,0,0,1,0,1,Well-maintained two-bedroom in a convenient Somerville location. Kitchen includes newer appliances and tile backsplash. Recently updated common areas and secure entry.,Not great. mold in the bathroom was never properly addressed despite multiple requests.,Average experience overall. courtyard was nice but parking is a nightmare.,Solid place to live. location was better than expected. Management is responsive.,0.0318
APT-1020,South End,3545,2,2,938,3,1974,1,1,0,0,1,0,0,0,0,Gorgeous two-bedroom in a meticulously maintained brownstone. Recently renovated kitchen with quartz counters and soft-close cabinetry.,The apartment exceeded my expectations. closet space and the building is well-run.,One of the better apartments I've rented. courtyard and neighbors are friendly.,Super comfortable space. updated appliances and I never had issues with noise.,0.0553
APT-1021,Allston,2412,3,3,1127,3,1952,1,1,0,0,0,1,1,1,0,Freshly painted three-bedroom ready for immediate move-in. Windows in every room keep the space feeling bright. Recently updated common areas and secure entry.,It served its purpose. renovated bathroom but management could be more responsive.,One of the better apartments I've rented. kitchen and neighbors are friendly.,The listing was misleading. parking is a nightmare and water pressure drops.,0.0632
APT-1022,Cambridge,4773,4,4,1698,3,2001,1,1,1,0,0,0,0,0,1,"Move-in ready four-bedroom with designer touches throughout. Oversized bay windows create a bright, airy atmosphere. Surrounded by local shops, bakeries, and green space.",Reasonable place. courtyard was nice. the walls are thin was annoying at times.,Great apartment. kitchen made it feel like home right away. Would definitely recommend.,Lived here for two years and loved it. high ceilings made a big difference day to day.,0.0772
APT-1023,Dorchester,1496,1,1,624,1,1999,0,1,1,1,0,0,1,1,0,Nice one-bedroom with a functional layout and recent updates. Windows in every room keep the space feeling bright.,Overpriced for what you get. the kitchen is smaller than expected.,My favorite apartment so far. updated appliances and the commute to downtown was easy.,"Not bad, not amazing. courtyard is a plus. the kitchen is smaller than expected is a minus.",0.0324
APT-1024,Fenway,4756,4,4,1650,5,2008,0,1,0,0,1,0,0,0,0,Solid four-bedroom close to shops and restaurants in Fenway. Nice afternoon light from the west-facing windows. Pet-friendly building with a shared courtyard.,Very happy with this place. rooftop access is exactly what I was looking for.,"Clean, well-maintained, and layout. No complaints.",Had ongoing issues with a broken intercom. Not worth the price.,0.052
APT-1025,Dorchester,2523,4,4,1519,6,1921,0,1,1,0,0,1,0,1,0,Pleasant four-bedroom with a good layout and natural light. Windows in every room keep the space feeling bright. Secure building with on-site management.,"Lived here a year. kitchen. On the other hand, the closets are tiny.",Would not recommend. the hallways are a bit run-down and the rent does not match the quality.,Disappointing overall. the water pressure could be better and management was slow to respond.,0.0394
APT-1026,Brighton,2754,3,3,1258,2,1949,1,1,0,1,1,0,1,0,1,Impeccably maintained three-bedroom in a sought-after Brighton location. South-facing exposure brings in gorgeous natural light throughout.,Really enjoyed my time here. natural light and the location is unbeatable.,Very happy with this place. closet space is exactly what I was looking for.,Very happy with this place. updated appliances is exactly what I was looking for.,0.0683
APT-1027,Dorchester,1292,0,1,445,2,2009,0,0,0,0,0,0,0,1,0,Basic studio with street parking available. Small but functional kitchen. Just a short walk to the waterfront and bike paths.,Had ongoing issues with a malfunctioning thermostat. Not worth the price.,Really appreciated open floor plan. The management fixed things quickly when needed.,Would not recommend. the street noise can be rough on weekends and the rent does not match the quality.,0.0373
APT-1028,Allston,1735,1,1,842,2,1952,1,0,0,0,0,0,1,0,1,Clean and bright one-bedroom available in Allston. Kitchen includes newer appliances and tile backsplash. Quiet tree-lined street but close to everything you need.,Very happy with this place. storage space is exactly what I was looking for.,"Lived here a year. natural light. On the other hand, the walls are thin.",Solid place to live. parking spot was better than expected. Management is responsive.,0.0534
APT-1029,Dorchester,1255,0,1,386,5,1935,1,0,0,0,0,1,0,1,1,Comfortable studio with updated appliances and good closet space. Nice afternoon light from the west-facing windows.,Average experience overall. updated appliances was nice but there's limited counter space.,"Lived here a year. modern finishes. On the other hand, the bathroom could use an update.","Good for what you pay. kitchen, just be aware that the hallways are a bit run-down.",0.063
APT-1030,Brighton,1553,0,1,400,3,1974,0,1,1,0,0,0,0,1,1,"Impeccably maintained studio in a sought-after Brighton location. The kitchen features granite countertops, stainless steel appliances, and a breakfast bar.","Good for what you pay. central air, just be aware that the heating system is inconsistent.",My favorite apartment so far. rooftop access and the commute to downtown was easy.,It was fine. location though the water pressure could be better.,0.0298
APT-1031,Charlestown,3890,3,3,1515,2,1910,0,1,1,1,0,1,1,0,1,"Freshly painted three-bedroom ready for immediate move-in. The kitchen has been updated with new countertops and appliances. Generous closet space throughout, including a walk-in in the primary bedroom.",Decent apartment for the price. storage space but there's limited counter space.,Adequate for the area. kitchen. Could use some updates though.,Below average. the windows are drafty in winter and the building needs serious maintenance.,0.0545
APT-1032,Cambridge,2787,1,1,610,1,2000,1,0,0,0,0,1,0,0,0,Cozy one-bedroom with good natural light and hardwood floors. Windows in every room keep the space feeling bright. Just a short walk to the waterfront and bike paths.,Had a great experience. high ceilings and it's super walkable to everything.,Adequate for the area. storage space. Could use some updates though.,Mixed feelings. closet space but I wish the kitchen had been updated.,0.0479
APT-1033,Beacon Hill,3628,2,2,951,3,1922,0,1,0,0,0,0,1,1,1,Comfortable two-bedroom with updated appliances and good closet space. Good natural light in the main living area. Just a short walk to the waterfront and bike paths.,Very happy with this place. gym is exactly what I was looking for.,Reasonable place. central air was nice. the buzzer system barely works was annoying at times.,Really enjoyed my time here. natural light and the location is unbeatable.,0.077
APT-1034,Allston,2004,2,2,865,2,1940,1,1,0,1,0,0,1,0,1,"Updated two-bedroom in a well-managed building in Allston. Good natural light in the main living area. Great walkability to cafes, bookstores, and boutiques.",Really appreciated parking spot. The management fixed things quickly when needed.,Would rent again in a heartbeat. balcony view and great vibes in the neighborhood.,"Good for what you pay. modern finishes, just be aware that the kitchen is smaller than expected.",0.0395
APT-1035,Somerville,1656,0,1,520,2,1997,1,1,0,1,1,0,0,0,1,"Comfortable studio with updated appliances and good closet space. Windows in every room keep the space feeling bright. Surrounded by local shops, bakeries, and green space.",Would not recommend. there's limited counter space and the rent does not match the quality.,Adequate for the area. high ceilings. Could use some updates though.,"Not bad, not amazing. closet space is a plus. you can hear the neighbors above is a minus.",0.0585
APT-1036,East Boston,2231,2,2,984,2,1960,1,0,0,0,0,0,1,0,1,Budget-friendly two-bedroom close to public transit. Small but functional kitchen.,Mixed feelings. open floor plan but I wish management communicated more.,Average experience overall. gym was nice but the hallways are a bit run-down.,It was fine. renovated bathroom though the heating system is inconsistent.,0.0275
APT-1037,Beacon Hill,6186,4,4,1657,2,1937,0,0,0,0,1,0,1,0,1,Spacious and bright four-bedroom with an open-concept layout. Floor-to-ceiling windows flood the space with natural light all day. Building includes a fitness center and community lounge.,My favorite apartment so far. kitchen and the commute to downtown was easy.,The apartment exceeded my expectations. closet space and the building is well-run.,Really appreciated central air. The management fixed things quickly when needed.,0.0629
APT-1038,Cambridge,3243,2,2,925,2,1909,0,1,0,0,1,1,1,0,1,"Sun-drenched two-bedroom featuring oversized windows and high ceilings. Oversized bay windows create a bright, airy atmosphere. Elevator building with package room and bike storage.",Had a great experience. kitchen and it's super walkable to everything.,Perfect for young professionals. hardwood floors and tons of good food nearby.,The apartment exceeded my expectations. storage space and the building is well-run.,0.053
APT-1039,Charlestown,2865,1,1,686,2,1930,1,0,1,0,0,0,1,0,0,Cozy one-bedroom with good natural light and hardwood floors. The kitchen has been updated with new countertops and appliances.,Really enjoyed my time here. building amenities and the location is unbeatable.,Reasonable place. location was nice. parking is a nightmare was annoying at times.,The listing was misleading. the street noise can be rough on weekends and cracks in the walls.,0.0604
APT-1040,Beacon Hill,3664,2,2,985,1,1901,0,1,1,0,0,0,0,0,1,Gorgeous two-bedroom in a meticulously maintained brownstone. The living area is bathed in natural light from multiple exposures. Pet-friendly building with a shared courtyard.,Really enjoyed my time here. quiet street and the location is unbeatable.,Decent apartment for the price. in-unit laundry but the buzzer system barely works.,Ended my lease early because of poor insulation. Very frustrating experience.,0.0482
APT-1041,South End,3151,1,1,682,4,1917,1,0,1,0,1,1,1,0,1,"Beautifully renovated one-bedroom with modern finishes throughout. Chef's kitchen with gas range, stone countertops, and ample prep space. Secure building with on-site management.",Super comfortable space. open floor plan and I never had issues with noise.,The apartment exceeded my expectations. courtyard and the building is well-run.,My favorite apartment so far. natural light and the commute to downtown was easy.,0.0918
APT-1042,Beacon Hill,3960,2,2,818,3,1894,0,1,1,1,0,0,1,0,1,Cozy two-bedroom with good natural light and hardwood floors. The kitchen has been updated with new countertops and appliances.,Average experience overall. natural light was nice but the closets are tiny.,Would not recommend. the bathroom could use an update and the rent does not match the quality.,"Not bad, not amazing. dishwasher is a plus. there's limited counter space is a minus.",0.0425
APT-1043,Dorchester,1250,0,1,468,2,1923,0,1,0,0,0,0,1,1,1,Solid studio close to shops and restaurants in Dorchester. Galley kitchen with updated fixtures and good counter space.,Solid place to live. bay windows was better than expected. Management is responsive.,My favorite apartment so far. kitchen and the commute to downtown was easy.,The apartment looked better in photos. the kitchen is smaller than expected was a constant frustration.,0.0627
APT-1044,Allston,1727,1,1,763,4,1981,1,1,0,0,0,0,1,0,1,Updated one-bedroom in a well-managed building in Allston. Nice afternoon light from the west-facing windows.,Great apartment. balcony view made it feel like home right away. Would definitely recommend.,The apartment exceeded my expectations. closet space and the building is well-run.,Adequate for the area. updated appliances. Could use some updates though.,0.0925
APT-1045,Back Bay,4159,2,2,807,3,1935,1,0,0,1,0,0,0,0,0,Solid two-bedroom close to shops and restaurants in Back Bay. Galley kitchen with updated fixtures and good counter space. Quiet tree-lined street but close to everything you need.,Really enjoyed my time here. gym and the location is unbeatable.,It was fine. storage space though the kitchen is smaller than expected.,Would rent again in a heartbeat. parking spot and great vibes in the neighborhood.,0.0548
APT-1046,Allston,1686,1,1,705,1,1951,0,1,0,0,1,0,0,1,0,Updated one-bedroom in a well-managed building in Allston. Good natural light in the main living area.,Below average. the kitchen is smaller than expected and the building needs serious maintenance.,"Lived here a year. storage space. On the other hand, the laundry room is always busy.",Average experience overall. quiet street was nice but you can hear the neighbors above.,0.0498
APT-1047,Brighton,2123,2,2,736,1,1948,1,1,1,0,0,0,1,0,1,Pleasant two-bedroom with a good layout and natural light. Galley kitchen with updated fixtures and good counter space.,Reasonable place. rooftop access was nice. the bathroom could use an update was annoying at times.,Average experience overall. gym was nice but the water pressure could be better.,"Lived here a year. modern finishes. On the other hand, there's limited counter space.",0.0685
APT-1048,Beacon Hill,3288,1,1,552,5,1908,1,0,0,0,1,0,0,1,1,"Thoughtfully designed one-bedroom with premium finishes and abundant storage. South-facing exposure brings in gorgeous natural light throughout. Surrounded by local shops, bakeries, and green space.",Would rent again in a heartbeat. parking spot and great vibes in the neighborhood.,"Not bad, not amazing. parking spot is a plus. the walls are thin is a minus.",Reasonable place. balcony view was nice. the bathroom could use an update was annoying at times.,0.0521
APT-1049,Allston,1982,2,2,916,1,1983,0,1,0,1,0,0,1,1,0,two-bedroom in a quiet residential area of Allston. Windows in every room keep the space feeling bright. The layout offers great separation between bedrooms.,"Clean, well-maintained, and hardwood floors. No complaints.",Very happy with this place. layout is exactly what I was looking for.,The listing was misleading. the elevator is slow and water pressure drops.,0.0355
APT-1050,East Boston,1786,1,1,693,4,1971,0,1,0,0,1,0,1,1,1,Well-maintained one-bedroom in a convenient East Boston location. Windows in every room keep the space feeling bright.,One of the better apartments I've rented. natural light and neighbors are friendly.,Loved living here. The gym was a huge plus and the neighborhood is fantastic.,It was fine. parking spot though there's limited counter space.,0.0731
APT-1051,Jamaica Plain,2125,2,2,798,2,1939,1,1,0,0,0,1,0,0,1,Well-maintained two-bedroom in a convenient Jamaica Plain location. Nice afternoon light from the west-facing windows.,Very happy with this place. dishwasher is exactly what I was looking for.,My favorite apartment so far. balcony view and the commute to downtown was easy.,Adequate for the area. dishwasher. Could use some updates though.,0.0663
APT-1052,Back Bay,3264,1,1,950,3,1933,1,0,0,0,1,0,0,0,0,Impeccably maintained one-bedroom in a sought-after Back Bay location. Floor-to-ceiling windows flood the space with natural light all day.,Would not recommend. the heating system is inconsistent and the rent does not match the quality.,Very happy with this place. in-unit laundry is exactly what I was looking for.,Adequate for the area. updated appliances. Could use some updates though.,0.0781
APT-1053,East Boston,2382,2,2,970,3,1975,1,0,0,0,1,0,1,0,0,Clean and bright two-bedroom available in East Boston. Good natural light in the main living area.,Perfect for young professionals. quiet street and tons of good food nearby.,"Lived here a year. courtyard. On the other hand, the laundry room is always busy.","Not bad, not amazing. quiet street is a plus. parking is a nightmare is a minus.",0.0644
APT-1054,Brighton,3100,4,4,1554,2,1958,0,1,0,0,0,0,0,1,1,Clean and bright four-bedroom available in Brighton. Eat-in kitchen with plenty of cabinet space. Just a short walk to the waterfront and bike paths.,Very happy with this place. dishwasher is exactly what I was looking for.,Average experience overall. rooftop access was nice but the hallways are a bit run-down.,Adequate for the area. natural light. Could use some updates though.,0.0478
APT-1055,Dorchester,2499,2,2,698,2,1918,0,1,0,0,0,1,0,1,0,"Pleasant two-bedroom with a good layout and natural light. Good natural light in the main living area. Walking distance to parks, shops, and public transit.",Reasonable place. hardwood floors was nice. the windows are drafty in winter was annoying at times.,"Good for what you pay. dishwasher, just be aware that the kitchen is smaller than expected.","Lived here a year. hardwood floors. On the other hand, the laundry room is always busy.",0.0245
APT-1056,East Boston,1643,1,1,734,4,1958,0,0,1,0,0,0,1,1,0,Solid one-bedroom close to shops and restaurants in East Boston. Windows in every room keep the space feeling bright.,Perfect for young professionals. bay windows and tons of good food nearby.,Solid place to live. parking spot was better than expected. Management is responsive.,Very happy with this place. kitchen is exactly what I was looking for.,0.035
APT-1057,Charlestown,2827,2,2,973,4,1919,0,0,0,0,1,0,1,0,0,two-bedroom in a quiet residential area of Charlestown. Galley kitchen with updated fixtures and good counter space. The layout offers great separation between bedrooms.,Reasonable place. storage space was nice. the buzzer system barely works was annoying at times.,My favorite apartment so far. updated appliances and the commute to downtown was easy.,Average experience overall. central air was nice but the windows are drafty in winter.,0.0581
APT-1058,Beacon Hill,3234,1,1,599,3,1894,0,1,1,0,1,1,1,0,1,"Thoughtfully designed one-bedroom with premium finishes and abundant storage. Oversized bay windows create a bright, airy atmosphere. Elevator building with package room and bike storage.",Perfect for young professionals. in-unit laundry and tons of good food nearby.,Overpriced for what you get. there's limited counter space.,"Not bad, not amazing. kitchen is a plus. the walls are thin is a minus.",0.0707
APT-1059,Brighton,2679,4,4,1635,5,1964,0,0,0,0,0,0,1,0,1,Nice four-bedroom with a functional layout and recent updates. Good natural light in the main living area. Recently updated common areas and secure entry.,Solid place to live. layout was better than expected. Management is responsive.,Decent apartment for the price. hardwood floors but the street noise can be rough on weekends.,Adequate for the area. layout. Could use some updates though.,0.0588
APT-1060,Cambridge,3204,2,2,887,1,1902,1,0,1,0,1,0,0,1,1,Charming two-bedroom with original hardwood floors and updated kitchen. Recently renovated kitchen with quartz counters and soft-close cabinetry. High ceilings give the unit an expansive feel.,Average experience overall. renovated bathroom was nice but the street noise can be rough on weekends.,Had a great experience. open floor plan and it's super walkable to everything.,Very happy with this place. open floor plan is exactly what I was looking for.,0.0738
APT-1061,Jamaica Plain,1720,1,1,623,2,1948,1,0,1,0,1,0,1,0,1,Clean and bright one-bedroom available in Jamaica Plain. Windows in every room keep the space feeling bright.,It served its purpose. in-unit laundry but management could be more responsive.,The listing was misleading. you can hear the neighbors above and pest problems.,Super comfortable space. storage space and I never had issues with noise.,0.0488
APT-1062,Brighton,2164,1,1,681,5,1953,0,0,1,0,0,0,0,1,0,Straightforward one-bedroom in a walkable part of Brighton. Cozy lower-level unit with some natural light.,Perfect for young professionals. gym and tons of good food nearby.,"Not bad, not amazing. courtyard is a plus. the buzzer system barely works is a minus.",One of the better apartments I've rented. kitchen and neighbors are friendly.,0.0571
APT-1063,Somerville,4582,4,4,1798,2,1909,0,1,0,0,0,0,1,0,0,Updated four-bedroom in a well-managed building in Somerville. Nice afternoon light from the west-facing windows.,My favorite apartment so far. central air and the commute to downtown was easy.,Not great. cracks in the walls was never properly addressed despite multiple requests.,Really enjoyed my time here. location and the location is unbeatable.,0.0437
APT-1064,Back Bay,3498,1,1,594,2,1887,0,1,0,0,0,1,0,1,1,"Spacious and bright one-bedroom with an open-concept layout. Chef's kitchen with gas range, stone countertops, and ample prep space. Bonus alcove works perfectly as a home office nook.",One of the better apartments I've rented. dishwasher and neighbors are friendly.,Very happy with this place. gym is exactly what I was looking for.,Would rent again in a heartbeat. bay windows and great vibes in the neighborhood.,0.06
APT-1065,South End,3288,2,2,893,4,1985,0,0,0,1,0,0,1,0,0,Straightforward two-bedroom in a walkable part of South End. Street-level unit; supplemental lighting recommended.,Disappointing overall. the bathroom could use an update and management was slow to respond.,The listing was misleading. the windows are drafty in winter and poor insulation.,Struggled with a malfunctioning thermostat the entire lease. Save your money.,0.0315
APT-1066,Beacon Hill,3957,2,2,765,4,1949,1,1,1,0,0,0,0,1,1,"Beautifully renovated two-bedroom with modern finishes throughout. The living area is bathed in natural light from multiple exposures. Steps from great restaurants, coffee shops, and nightlife.",Very happy with this place. bay windows is exactly what I was looking for.,Great apartment. modern finishes made it feel like home right away. Would definitely recommend.,One of the better apartments I've rented. balcony view and neighbors are friendly.,0.0349
APT-1067,Beacon Hill,3078,1,1,660,4,1899,0,1,1,1,1,0,1,1,1,Elegant one-bedroom offering a perfect blend of classic charm and modern convenience. Floor-to-ceiling windows flood the space with natural light all day. Quiet tree-lined street but close to everything you need.,Very happy with this place. balcony view is exactly what I was looking for.,"Good for what you pay. high ceilings, just be aware that the buzzer system barely works.",Really enjoyed my time here. parking spot and the location is unbeatable.,0.0433
APT-1068,Allston,1925,1,1,650,2,1944,1,1,1,0,0,0,0,0,0,"Basic one-bedroom with street parking available. Street-level unit; supplemental lighting recommended. Steps from great restaurants, coffee shops, and nightlife.",It served its purpose. high ceilings but management could be more responsive.,The apartment looked better in photos. the walls are thin was a constant frustration.,Struggled with heating and cooling issues the entire lease. Save your money.,0.0565
APT-1069,East Boston,2218,2,2,835,3,1955,1,1,0,0,0,1,0,1,0,Well-maintained two-bedroom in a convenient East Boston location. Nice afternoon light from the west-facing windows. Recently updated common areas and secure entry.,"Lived here a year. closet space. On the other hand, you can hear the neighbors above.","Not bad, not amazing. layout is a plus. the walls are thin is a minus.",Reasonable place. closet space was nice. the kitchen is smaller than expected was annoying at times.,0.0484
APT-1070,Somerville,3822,4,4,1727,2,2022,1,1,1,0,0,0,0,1,0,"Move-in ready four-bedroom with designer touches throughout. Chef's kitchen with gas range, stone countertops, and ample prep space.",The apartment exceeded my expectations. dishwasher and the building is well-run.,Would rent again in a heartbeat. layout and great vibes in the neighborhood.,Loved living here. The parking spot was a huge plus and the neighborhood is fantastic.,0.0447
APT-1071,Dorchester,1528,0,1,344,2,1905,1,1,1,0,0,0,0,1,1,Comfortable studio with updated appliances and good closet space. The kitchen has been updated with new countertops and appliances. High ceilings give the unit an expansive feel.,Lived here for two years and loved it. layout made a big difference day to day.,Average experience overall. modern finishes was nice but the kitchen is smaller than expected.,The apartment exceeded my expectations. open floor plan and the building is well-run.,0.0537
APT-1072,Fenway,2601,1,1,601,2,1900,0,0,0,0,0,0,1,1,0,Updated one-bedroom in a well-managed building in Fenway. Kitchen includes newer appliances and tile backsplash.,"Lived here a year. bay windows. On the other hand, the closets are tiny.",Great apartment. balcony view made it feel like home right away. Would definitely recommend.,Really enjoyed my time here. layout and the location is unbeatable.,0.0378
APT-1073,Somerville,1948,1,1,716,3,1936,0,0,0,0,0,0,1,1,1,Stunning one-bedroom in the heart of Somerville. Floor-to-ceiling windows flood the space with natural light all day. Easy access to major highways and downtown.,Very happy with this place. dishwasher is exactly what I was looking for.,The apartment exceeded my expectations. updated appliances and the building is well-run.,Solid place to live. natural light was better than expected. Management is responsive.,0.0432
APT-1074,Somerville,2256,1,1,673,4,1991,0,1,0,0,0,0,0,0,1,Move-in ready one-bedroom with designer touches throughout. South-facing exposure brings in gorgeous natural light throughout.,Perfect for young professionals. closet space and tons of good food nearby.,Very happy with this place. parking spot is exactly what I was looking for.,Decent apartment for the price. building amenities but the closets are tiny.,0.0626
